(105, '4G', 'Gazpromavia', '', '', 0, 'AmadeusProvider', 'false'),
(106, '4H', 'United Airways Bangladesh', '', '', 0, 'AmadeusProvider', 'false'),
(107, '4I', 'Izmir Havayollari', '', '', 0, 'AmadeusProvider', 'false'),
(108, '4J', 'Somon Air', '', '', 0, 'AmadeusProvider', 'true'),
(109, '4K', 'Kenn Borek Air', '', '', 0, 'AmadeusProvider', 'false'),
(110, '4L', 'Euroline', '', '', 0, 'AmadeusProvider', 'true'),
(111, '4M', 'Lanargentina', '', '', 0, 'AmadeusProvider', 'true'),
(112, '4N', 'Air North', '', '', 0, 'AmadeusProvider', 'false'),
(113, '4O', 'ABC Aerolineas', '', '', 0, 'AmadeusProvider', 'false'),
(114, '4O1', 'InterJet', '', '', 0, 'TravelFusion2Provider', 'true'),
(115, '4P', 'Viking Airlines', '', '', 0, 'AmadeusProvider', 'false'),
(116, '4Q', 'Safi Airways', '', '', 0, 'AmadeusProvider', 'false'),
(117, '4R', 'Hamburg International', '', '', 0, 'AmadeusProvider', 'true'),
(118, '4S', 'Star Airways', '', '', 0, 'AmadeusProvider', 'true'),
(119, '4T', 'Belair Airlines', '', '', 0, 'AmadeusProvider', 'true'),
(120, '4U', 'Germanwings', '', '', 0, '\nAmadeusProvider;ERetailWebFareProvider;TravelFusionProvider\n', 'true'),
(121, '4V', 'Lacbravo', '', '', 0, 'AmadeusProvider', 'false'),
(122, '4W', 'Warbelows Air Ventures', '', '', 0, 'AmadeusProvider', 'false'),
(123, '4X', 'Atlantic Express Airline', '', '', 0, 'AmadeusProvider', 'false'),
(124, '4Y', 'Yute Air Alaska', '', '', 0, 'AmadeusProvider', 'false'),
(125, '4Z', 'South African Airlink', '', '', 0, 'AmadeusProvider', 'false'),
(126, '5B', 'Chanchangi Airlines', '', '', 0, 'AmadeusProvider', 'false'),
(127, '5C', 'Nature Air', '', '', 0, 'AmadeusProvider', 'false'),
(128, '5D', 'Aeromexico Connect', '', '', 0, 'AmadeusProvider', 'false'),
(129, '5E', 'Siam Ga', '', '', 0, 'AmadeusProvider', 'false'),
(130, '5F', 'Arctic Circle Air', '', '', 0, 'AmadeusProvider', 'false'),
(131, '5G', 'Skyservice Airlines', '', '', 0, 'AmadeusProvider', 'true'),
(132, '5H', 'Five Fourty Aviation', '', '', 0, 'AmadeusProvider', 'false'),
(133, '5I', 'Air G', '', '', 0, 'AmadeusProvider', 'false'),
(134, '5J', 'Cebu Air', '', '', 0, 'AmadeusProvider', 'true'),
(135, '5K', 'Hi Fly Transportes Aereo', '', '', 0, 'AmadeusProvider', 'true'),
(136, '5L', 'Aerosur', '', '', 0, 'AmadeusProvider', 'true'),
(137, '5M', 'Montserrat Airways', '', '', 0, 'AmadeusProvider', 'true'),
(138, '5N', 'Jsc Nordavia', '', '', 0, 'AmadeusProvider', 'true'),
(139, '5O', 'Europe Airpost', '', '', 0, 'AmadeusProvider', 'false'),
(140, '5P', 'Aerolinea Principal Chile', '', '', 0, 'AmadeusProvider', 'true'),
(141, '5Q', 'Best Aviation', '', '', 0, 'AmadeusProvider', 'false'),
(142, '5R', 'Karthago Airlines', '', '', 0, 'AmadeusProvider', 'true'),
(143, '5S', 'Servicios Aereos Profes', '', '', 0, 'AmadeusProvider', 'false'),
(144, '5T', 'Canadian North', '', '', 0, 'AmadeusProvider', 'true'),
(145, '5U', 'Ac Challenge Aero', '', '', 0, 'AmadeusProvider', 'true'),
(146, '5V', 'Lviv Airlines', '', '', 0, 'AmadeusProvider', 'true'),
(147, '5W', 'Astraeus', '', '', 0, 'AmadeusProvider', 'false'),
(148, '5Y', 'Express Rail Link', '', '', 0, 'AmadeusProvider', 'true'),
(149, '5Z', 'Bismillah Airlines', '', '', 0, 'AmadeusProvider', 'true'),
(150, '6A', 'Aviacsa', '', '', 0, 'AmadeusProvider', 'true'),
(151, '6B', 'TUIFly Nordic', '', '', 0, 'AmadeusProvider;ERetailWebFareProvider', 'true'),
(152, '6C', 'Centrafrique Air Express', '', '', 0, 'AmadeusProvider', 'false'),
(153, '6D', 'Royal Daisy Airlines', '', '', 0, 'AmadeusProvider', 'true'),
(154, '6E', 'IndiGo', '', '', 0, '\nAmadeusProvider;ERetailWebFareProvider;TravelFusion2Provider\n', 'true'),
(155, '6F', 'Afrijet Airlines', '', '', 0, 'AmadeusProvider', 'false'),
(156, '6G', 'Gulfstream Air Charter', '', '', 0, 'AmadeusProvider', 'false'),
(157, '6H', 'Israir Airlines', '', '', 0, 'AmadeusProvider', 'true'),
(158, '6I', 'Intl Business Airlines', '', '', 0, 'AmadeusProvider', 'false'),
(159, '6J', 'Jubba Airways', '', '', 0, 'AmadeusProvider', 'false'),
(160, '6K', 'Asian Spirit', '', '', 0, 'AmadeusProvider', 'false'),
(161, '6L', 'Aklak Air', '', '', 0, 'AmadeusProvider', 'false'),
(162, '6M', 'Air Minas Linhas Aereas', '', '', 0, 'AmadeusProvider;TravelFusion2Provider', 'false'),
(163, '6N', 'Al Naser Airlines', '', '', 0, 'AmadeusProvider', 'true'),
(164, '6O', 'Air Satellite', '', '', 0, 'AmadeusProvider', 'false'),
(165, '6P', 'Gryphon Airline', '', '', 0, 'AmadeusProvider', 'true'),
(166, '6Q', 'Sham Wings Airlines', '', '', 0, 'AmadeusProvider', 'true'),
(167, '6R', 'Mirny Air', '', '', 0, 'AmadeusProvider', 'false'),
(168, '6S', 'El Sol De America', '', '', 0, 'AmadeusProvider', 'true'),
(169, '6T', 'Air Mandalay', '', '', 0, 'AmadeusProvider', 'false'),
(170, '6U', 'Acg Air Cargo Germany', '', '', 0, 'AmadeusProvider', 'true'),
(171, '6V', 'Mars RK', '', '', 0, 'AmadeusProvider', 'true'),
(172, '6W', 'Saratov Airlines', '', '', 0, 'AmadeusProvider', 'false'),
(173, '6X', 'Amadeus Six', '', '', 0, 'AmadeusProvider', 'false'),
(174, '6Y', 'Smartlynx Airlines', '', '', 0, 'AmadeusProvider', 'true'),
(175, '6Z', 'Van Air Europe', '', '', 0, 'AmadeusProvider', 'false'),
(176, '7A', 'Air Next', '', '', 0, 'AmadeusProvider', 'false'),
(177, '7B', 'Atlant-Soyuz', '', '', 0, 'AmadeusProvider', 'true'),
(178, '7C', 'Jeju Air', '', '', 0, 'AmadeusProvider', 'false'),
(179, '7D', 'Donbassaero Airlines', '', '', 0, 'AmadeusProvider', 'true'),
(180, '7E', 'Sylt Air Gmbh', '', '', 0, 'AmadeusProvider', 'true'),
(181, '7F', 'First Air', '', '', 0, 'AmadeusProvider', 'true'),
(182, '7G', 'Star Flyer', '', '', 0, 'AmadeusProvider', 'false'),
(183, '7H', 'Era Aviation', '', '', 0, 'AmadeusProvider', 'false'),
(184, '7I', 'Insel Air International', '', '', 0, 'AmadeusProvider', 'true'),
(185, '7J', 'Tajik Air', '', '', 0, 'AmadeusProvider', 'true'),
(186, '7K', 'Kogalymavia Airlines', '', '', 0, 'AmadeusProvider', 'true'),
(187, '7L', 'Aerocaribbean', '', '', 0, 'AmadeusProvider', 'false'),
(188, '7M', 'Mayair', '', '', 0, 'AmadeusProvider', 'true'),
(189, '7N', 'Inland Aviation Services', '', '', 0, 'AmadeusProvider', 'false'),
